id,Country,Year,Species,Classification,Cluster,sul2,aph(3'')-Ib,aph(6)-Id,tet(B),catA2,aph(6)-Id*,aph(3'')-Ib*,blaBRO-1,blaBRO-2,blaBRO-1*,blaBRO-1^,blaBRO-2*,AG261,AB778,AC411,AE018
46321_2#113_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#356_fa,Cambodia,2019,Moraxella catarrhalis,Atypical 1,Atypical_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#252_fa,United Kingdom,2020,Moraxella catarrhalis,Seroresistant,Seroresistant_31,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#275_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_27,Present,Present,Present,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent
46358_2#45_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_6,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#322_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_70,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#85_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent
46472_2#192_fa,Cambodia,2019,Moraxella catarrhalis,Serosensitive,Serosensitive_93,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#290_fa,United Kingdom,2010,Moraxella catarrhalis,Seroresistant,Seroresistant_131,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#189_fa,Thailand,2009,Moraxella catarrhalis,Seroresistant,Seroresistant_272,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent
46472_2#154_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#254_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_66,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#309_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_113,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#40_fa,United Kingdom,2010,Moraxella catarrhalis,Seroresistant,Seroresistant_10,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent
46358_2#292_fa,Cambodia,2019,Moraxella catarrhalis,Serosensitive,Serosensitive_49,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#113_fa,United Kingdom,2009,Moraxella catarrhalis,Seroresistant,Seroresistant_22,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#18_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_146,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent
46472_2#58_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_266,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#169_fa,United Kingdom,2009,Moraxella catarrhalis,Seroresistant,Seroresistant_31,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#213_fa,Thailand,2010,Moraxella catarrhalis,Seroresistant,Seroresistant_201,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#197_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_3,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#234_fa,United Kingdom,2011,Moraxella catarrhalis,Seroresistant,Seroresistant_76,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
