tsne1D,tsne2D,Standard_Cluster,Membership_Probability,Sample_Name
-22.575640771289404,5.637016566180456,32,1.0,36812_2#212_plasmid_AF100
-20.458135273928725,-46.02949380417539,56,1.0,36812_2#219_plasmid_AF100
-26.015773120400176,-4.910473294900486,77,0.9224338392110754,36812_2#22_plasmid_AF100
5.2996188859911335,29.492800712874825,-1,0.0,36812_2#242_plasmid_novel_dd75e64596acf766af00a25deaf5352c
-22.5218962984704,5.52302689123564,32,0.0044167379530135565,36812_2#245_plasmid_AF100
-25.925509401542673,13.552893655762961,65,1.0,36812_2#250_plasmid_AF100
-25.58067607888876,-4.518778178723505,77,1.0,36812_2#251_plasmid_AF100
-25.17565709931103,-5.648218258465029,77,1.0,36812_2#256_plasmid_AF100
-12.445667420301355,-1.8776578784266968,88,5.4556352957267855e-09,36812_2#283_plasmid_AF100
-25.15018513220437,-5.291816636031791,77,1.0,36812_2#308_plasmid_AF100
-22.57534260927773,5.6365504358654,32,1.0,36812_2#319_plasmid_AF100
-25.390066654733275,-6.132018683756579,77,1.0,36812_2#340_plasmid_AF100
-3.096429475661399,32.511232143012506,42,0.9966733725908921,36812_2#342_plasmid_AB946
-32.32582230419799,-3.2376313616942625,40,1.0,36812_2#349_plasmid_AF100
-19.7310862802837,-8.01933740838154,44,1.0,36812_2#352_plasmid_AF100
-7.396485235357997,-6.286554674179332,33,0.8192260614930164,36812_2#62_plasmid_AF100
-22.937824942533577,-49.891051911832804,13,0.11403016546649636,36812_2#82_plasmid_AF100
-25.907719054899957,13.4490482874784,66,1.0,36982_2#124_plasmid_AF100
-7.105412320493919,14.067430869234931,69,1.0,36982_2#148_plasmid_AF098
-25.935302948793005,13.150005419721095,-1,0.0,36982_2#156_plasmid_AF100
-7.3323586315457625,13.742461714794223,70,0.5171135083345569,36982_2#158_plasmid_AF098
-32.32582751337979,-3.2384768380959867,40,1.0,36982_2#160_plasmid_AF100
-25.829927464038718,-5.743470318965684,77,1.0,36982_2#188_plasmid_AF100
-13.042764275231718,-1.1730129936646874,88,1.0,36982_2#256_plasmid_AF100
-26.441057170769355,-6.903390866367509,77,1.0,36982_2#276_plasmid_AF100
-11.439696910941905,-2.4008239888224674,90,1.0,36982_2#346_plasmid_AF100
-20.45812543414278,-46.02947448260193,56,0.013199441970292552,36983_1#102_plasmid_AF100
-4.926670121975065,32.961314701430965,-1,0.0,36983_1#103_plasmid_AB946
-23.865981617338825,6.815107319252709,32,0.000316688544595734,36983_1#107_plasmid_AF100
-5.942775889829742,31.930310747606146,78,0.7868673658397528,36983_1#10_plasmid_AB946
-8.28832595483979,15.151300684863205,-1,0.0,36983_1#110_plasmid_AF098
-6.41479260438946,31.474207988239716,82,0.5281923270752822,36983_1#115_plasmid_AB946
-22.27826826775761,9.516374635772111,60,1.0,36983_1#126_plasmid_AF100
-25.1837101212136,-8.509043274773338,76,0.7972717096928843,36983_1#128_plasmid_AF100
-35.23655496562834,23.465898169085065,38,0.7131183949986902,36983_1#130_plasmid_AF100
4.234354232109032,30.837884066871894,68,1.0,36983_1#130_plasmid_novel_f15ab5254942466d924d099ed2d0243a
-10.737449473830697,14.009422926263747,27,1.0,36983_1#132_plasmid_AF098
-25.691443554111636,-6.532595056692793,77,1.0,36983_1#145_plasmid_AF100
-21.05137459899419,7.861755142731106,72,1.0,36983_1#149_plasmid_AF100
-26.031357012398175,-6.73375379090205,77,1.0,36983_1#152_plasmid_AF100
-8.16281960448406,13.514123561296438,75,1.0,36983_1#165_plasmid_AF098
-25.985828200573344,-6.708218167111914,77,0.9758761767007468,36983_1#169_plasmid_AF100
-6.460911959883656,31.483889476683466,82,1.0,36983_1#174_plasmid_AB946
-35.237928886723545,23.465440889350514,37,0.5803108841219952,36983_1#176_plasmid_AF100
4.490234427132343,30.843642352025018,67,1.0,36983_1#176_plasmid_novel_ddd227b1761692236b12d550b3f57ccf
-26.755849228386722,-6.364160077535246,77,0.9680773632396695,36983_1#177_plasmid_AF100
4.947074363852998,2.159823813733001,9,0.8995534816265519,36983_1#178_plasmid_AE025
-26.44541948490475,-6.375634896504058,77,1.0,36983_1#185_plasmid_AF100
4.186427190637401,30.706924791128053,68,1.0,36983_1#187_plasmid_novel_f42c984c5c68ecd548f3988889265e6f
-11.269028923810133,-2.6589760349818263,89,1.0,36983_1#192_plasmid_AF100
-21.857032698411807,-46.45443175590028,-1,0.0,36983_1#204_plasmid_AF100
-25.92288258155672,13.553927260581567,65,0.4766296619250733,36983_1#212_plasmid_AF100
-35.23792888670485,23.465440889295163,37,1.0,36983_1#213_plasmid_AF100
4.490234427170785,30.843642351975593,67,1.0,36983_1#213_plasmid_novel_56b1eea500397ddc7d8f72a322d03a90
-35.23676919115141,23.466601092998687,38,1.0,36983_1#219_plasmid_AF100
4.218380908448898,30.803257513881913,68,1.0,36983_1#219_plasmid_novel_1542f46dea18d0b342d53899d34226f9
-3.0964629945509414,32.50998229894591,42,1.0,36983_1#229_plasmid_AB946
-35.071288309639485,25.44135788221577,15,0.0031871561159129568,36983_1#250_plasmid_AF100
-12.735947324673267,-3.6649976818400987,79,1.0,36983_1#255_plasmid_AF100
-33.915281334533034,24.677667628675355,16,0.9994579211944727,36983_1#260_plasmid_AF100
-33.75336687816966,24.693989181732473,16,0.22545544924742844,36983_1#264_plasmid_AF100
5.637402218897851,48.08960891461296,1,1.0,36983_1#272_plasmid_AB621
-33.75159480100339,24.693643912183262,16,0.222583449748716,36983_1#274_plasmid_AF100
-6.097152664352638,32.23297123473762,84,1.0,36983_1#275_plasmid_AB946
-10.737261173005681,14.009366908840198,27,1.0,36983_1#277_plasmid_AF098
4.713367920029929,48.3768569270029,1,1.0,36983_1#278_plasmid_AB621
4.244314607925968,30.637040201108647,68,1.0,36983_1#27_plasmid_novel_e8c40b0f4850a17145382a0f7ed7d2f5
-26.418852393604478,-5.807503170825981,77,1.0,36983_1#311_plasmid_AF100
-26.10251885222106,-5.869206068274083,77,1.0,36983_1#315_plasmid_AF100
-22.46914656536938,8.49159318002665,73,0.7487865541722682,36983_1#319_plasmid_AF100
-26.358787234081884,-5.9966350013832415,77,1.0,36983_1#322_plasmid_AF100
-26.815607547691066,-6.338024852361164,77,1.0,36983_1#323_plasmid_AF100
-7.105395311476096,14.067025475272208,69,1.0,36983_1#326_plasmid_AF098
-35.48826023976774,23.629280906321977,17,1.0,36983_1#330_plasmid_AF100
-23.856692366313673,6.791874905308923,32,0.00032081805613918223,36983_1#333_plasmid_AF100
-4.926669263265549,32.96131352425489,-1,0.0,36983_1#356_plasmid_AB946
-4.925272115895225,32.953112717962654,-1,0.0,36983_1#358_plasmid_AB946
-29.600173755821455,-3.009404839501559,76,0.7969650035015075,36983_1#35_plasmid_AF100
-33.9152651362147,24.677662807365422,16,1.0,36983_1#366_plasmid_AF100
-7.332196478751163,13.742480275770928,70,1.0,36983_1#370_plasmid_AF098
-7.332026467609266,13.742482875239407,70,1.0,36983_1#376_plasmid_AF098
-26.26924859822907,-5.403651877802838,77,0.9775888145528753,36983_1#39_plasmid_AF100
-26.847448171323343,-5.8840235019890645,77,1.0,36983_1#44_plasmid_AF100
-27.521838172272016,-4.604625377351474,77,1.0,36983_1#54_plasmid_AF100
-27.65668069719145,-6.657062522351248,77,0.996391164145456,36983_1#67_plasmid_AF100
-13.042764275956543,-1.1730129976319583,88,1.0,36983_1#75_plasmid_AF100
-26.668237090448464,-5.6739478416595475,77,1.0,36983_1#87_plasmid_AF100
-35.2384884345139,23.46664209240042,37,1.689317903974487e-08,36983_1#89_plasmid_AF100
4.200723904318073,30.59246006375007,68,0.9265489211699018,36983_1#89_plasmid_novel_9a8e27f9a8b36e52c2e34320b2dca18c
-27.650731130492506,-5.080038672285821,77,1.0,36983_2#119_plasmid_AF100
-17.424617017474613,0.8729695406455809,39,0.07029755443797914,36983_2#124_plasmid_AF100
-28.873321868160136,-10.001381830772452,-1,0.0,36983_2#133_plasmid_AF100
4.4902344272011945,30.84364235193648,67,1.0,36983_2#137_plasmid_novel_fb33d66b7906966d373043a57d796e63
-6.671246042700239,32.21143435287845,85,0.5922695121483257,36983_2#144_plasmid_AB946
-22.9402622686913,-49.88744835863721,-1,0.0,36983_2#157_plasmid_AF100
-19.73114206911312,-8.020192543020737,44,1.0,36983_2#158_plasmid_AF100
-20.458180332409526,-46.02944085382174,56,0.004373574507775621,36983_2#161_plasmid_AF100
-6.747723639067251,31.82454566897262,86,1.0,36983_2#172_plasmid_AB946
-27.636244000377836,-5.763372594243139,77,1.0,36983_2#176_plasmid_AF100
-6.7053613358079,31.683639961494848,86,0.8101352637119394,36983_2#198_plasmid_AB946
-27.683037908683236,-5.840780004663523,77,1.0,36983_2#230_plasmid_AF100
-27.444966491694213,-6.121772352835473,77,1.0,36983_2#235_plasmid_AF100
-27.2512259677345,-5.529985494685842,77,1.0,36983_2#262_plasmid_AF100
