batch_uuid	file_type	file_uuid	method_uuid	path
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	48b3b36b-3d60-4784-976a-4ad6babf97ab	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10662383/SLX/65992253/46321_2#34/46321_2#34/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	f1662b8e-7ea1-44bb-b000-6bfb00642dc8	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661319/SLX/65995817/46472_2#210/46472_2#210/kraken.report
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	90e67e0a-c4be-4376-994b-41544eb83810	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS13171229/SLX/70377186/48373_1#279/48373_1#279/kraken.report
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	e9257840-9bee-420a-996e-abdac2a9035e	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662619/SLX/65990270/46358_2#191/46358_2#191/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	83a599dc-e8b7-4eb4-8dac-e2dcb918de2b	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10660974/SLX/65991944/46321_1#85/46321_1#85/spades_assembly/annotation/46321_1#85.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	d86aca4d-0d97-493c-a00b-de0810f889d9	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662463/SLX/65989967/46358_2#322/46358_2#322/kraken.report
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	bb6a0aa9-00a1-4bc8-b7b9-d11dd25f3581	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS13171326/SLX/70377162/48373_1#278/48373_1#278/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	17bc6a76-c5bf-4bb3-a637-cca86e253654	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170492/SLX/65993574/46872_1#37/46872_1#37/spades_assembly/contigs.fa
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	06795bfd-242e-448f-a1af-bfa2c6b56f7b	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662358/SLX/65992489/46321_2#363/46321_2#363/spades_assembly/contigs.fa
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	ced4bccc-46bb-45e5-ad02-0f03e2a6649f	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661938/SLX/65992419/46321_2#9/46321_2#9/spades_assembly/annotation/46321_2#9.gff
