run_accession,sample_accession
ERR3440041,SAMEA4621759
ERR3410748,SAMEA4622510
ERR3410862,SAMEA4622632
ERR3440046,SAMEA4621764
ERR3410752,SAMEA4622514
ERR3410863,SAMEA4622633
ERR3440052,SAMEA4621770
ERR3410753,SAMEA4622515
ERR3410864,SAMEA4622634
ERR3440055,SAMEA4621773
ERR3410756,SAMEA4622518
ERR3410865,SAMEA4622635
ERR3440058,SAMEA4621776
ERR3410760,SAMEA4622530
ERR3410870,SAMEA4622640
ERR3440059,SAMEA4621777
ERR3410761,SAMEA4622531
ERR3410874,SAMEA4622644
ERR3440073,SAMEA4621791
ERR3410791,SAMEA4622561
ERR3410876,SAMEA4622646
ERR3440078,SAMEA4621796
ERR3410802,SAMEA4622572
ERR3410877,SAMEA4622647
ERR3440081,SAMEA4621799
ERR3410807,SAMEA4622577
ERR3410878,SAMEA4622648
ERR3440092,SAMEA4621810
ERR3410821,SAMEA4622591
ERR3410888,SAMEA4622658
ERR3440093,SAMEA4621811
ERR3410833,SAMEA4622603
ERR3410890,SAMEA4622660
ERR3440095,SAMEA4621813
ERR3410834,SAMEA4622604
ERR3410893,SAMEA4622663
ERR3440097,SAMEA4621815
ERR3410835,SAMEA4622605
ERR3410919,SAMEA4622690
ERR3440101,SAMEA4621819
ERR3410840,SAMEA4622610
ERR3410924,SAMEA4622695
ERR3440106,SAMEA4621824
ERR3410845,SAMEA4622615
ERR3410935,SAMEA4622706
ERR3440107,SAMEA4621825
ERR3410846,SAMEA4622616
ERR3410972,SAMEA4622744
ERR3440108,SAMEA4621826
ERR3410852,SAMEA4622622
ERR3440115,SAMEA4621833
ERR3410856,SAMEA4622626
ERR3440123,SAMEA4621841
ERR3410978,SAMEA4622750
ERR3410867,SAMEA4622637
ERR3440134,SAMEA4621852
ERR3440139,SAMEA4621857
ERR3410871,SAMEA4622641
ERR3410984,SAMEA4622756
ERR3440160,SAMEA4621878
ERR3410875,SAMEA4622645
ERR3410999,SAMEA4622778
ERR3440162,SAMEA4621880
ERR3410882,SAMEA4622652
ERR3411021,SAMEA4622794
ERR3440163,SAMEA4621881
ERR3410895,SAMEA4622665
ERR3411029,SAMEA4622802
ERR3440168,SAMEA4621886
ERR3410896,SAMEA4622666
ERR3411571,SAMEA4620270
ERR3410899,SAMEA4622670
ERR3440171,SAMEA4621889
ERR3411578,SAMEA4620277
ERR3410903,SAMEA4622674
ERR3440172,SAMEA4621890
ERR3411582,SAMEA4620281
ERR3410904,SAMEA4622675
ERR3440183,SAMEA4621901
ERR3411583,SAMEA4620282
ERR3410936,SAMEA4622707
ERR3440184,SAMEA4621902
ERR3411586,SAMEA4620285
ERR3410937,SAMEA4622708
ERR3440186,SAMEA4621904
ERR3411587,SAMEA4620286
ERR3410948,SAMEA4622720
ERR3440189,SAMEA4621907
ERR3411588,SAMEA4620288
ERR3410956,SAMEA4622728
ERR3440196,SAMEA4621914
ERR3411591,SAMEA4620291
ERR3410968,SAMEA4622740
ERR3440202,SAMEA4621921
ERR3411595,SAMEA4620295
ERR3410980,SAMEA4622752
ERR3440210,SAMEA4621929
ERR3411602,SAMEA4620302
ERR3410990,SAMEA4622769
ERR3440211,SAMEA4621930
ERR3411605,SAMEA4620305
ERR3411003,SAMEA4622762
ERR3440212,SAMEA4621931
ERR3411614,SAMEA4620314
ERR3411006,SAMEA4622765
ERR3440235,SAMEA4621954
ERR3411615,SAMEA4620315
ERR3411007,SAMEA4622780
ERR3440236,SAMEA4621955
ERR3411619,SAMEA4620319
ERR3411014,SAMEA4622787
ERR3440239,SAMEA4621958
ERR3411622,SAMEA4620322
ERR3411574,SAMEA4620273
ERR3440251,SAMEA4621970
ERR3411623,SAMEA4620323
ERR3411576,SAMEA4620275
ERR3440255,SAMEA4621974
