Isolate,Region,Cohort,Country,Year,Species
ERR3411668,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411698,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439992,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411740,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411907,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411771,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410723,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904132,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425210,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410807,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425559,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439969,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410834,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411000,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440196,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440198,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440042,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410652,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425220,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410337,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439956,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3448859,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411577,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425494,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440279,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440222,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
