Isolate,Region,Cohort,Country,Year,Species
ERR3410537,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3440234,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411724,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904276,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425807,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904093,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904169,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904358,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410899,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440026,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411974,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410757,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410786,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410888,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410876,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410835,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425255,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411964,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440154,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411912,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410742,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440254,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425241,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425337,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904095,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410937,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425253,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425398,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410367,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410536,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425175,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904243,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904351,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904447,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410320,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410939,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3410676,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904108,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410715,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3410959,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904268,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440010,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411591,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425377,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440182,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904357,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904390,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412026,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411745,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425174,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410563,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440232,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439939,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410696,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410372,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411689,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411676,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412032,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412122,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411773,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411971,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440146,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410638,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410374,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3439952,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410459,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425439,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411899,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411834,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411754,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425330,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440089,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411941,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411893,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411593,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411610,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411619,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411624,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411633,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904120,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904332,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410705,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410655,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425547,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904340,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904300,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412176,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410707,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410498,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410863,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410403,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410269,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411700,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412030,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904085,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425702,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410277,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410984,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440189,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410505,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410684,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440301,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425606,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904315,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410356,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410273,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904170,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412114,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410323,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410578,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440194,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410565,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904284,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410832,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904312,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3448858,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410456,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440288,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410267,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440210,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425448,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440160,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411728,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410925,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410846,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904251,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440091,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411587,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410631,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440077,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425384,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411693,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410689,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425391,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411769,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904248,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410433,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425499,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411629,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425873,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904237,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904328,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412028,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425451,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425244,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412045,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412116,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410280,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440014,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3439999,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410443,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440298,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425610,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425787,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425653,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411601,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425315,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425317,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411959,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425501,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411672,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411690,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411717,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411738,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439973,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440046,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410485,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440299,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904166,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410978,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411892,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411583,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412086,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440157,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410867,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440043,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410479,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440212,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411706,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425744,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425173,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410889,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411854,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904100,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410543,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440009,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440250,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440041,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425497,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439978,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410625,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425380,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410698,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425331,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410361,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440081,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410438,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411894,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904427,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410710,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904423,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425630,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411584,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440266,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412090,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411626,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411677,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410999,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411767,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410591,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412136,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410437,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410955,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411596,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425442,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412088,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425736,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440251,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411960,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411666,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410270,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425393,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904156,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440058,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410862,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904128,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440034,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425548,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411590,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425441,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425316,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410820,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440054,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411625,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411682,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410528,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411598,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412014,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410702,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440093,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440185,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411020,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410562,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440228,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410412,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3439945,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425526,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411588,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904285,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410547,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410549,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410490,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412017,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410440,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411674,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425326,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411969,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411918,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440270,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411582,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410722,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410351,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440092,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425660,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411649,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411965,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411578,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439941,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425324,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440175,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425673,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425520,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440052,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411928,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410420,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425581,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440233,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425381,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904224,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411721,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411732,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904352,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412056,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904274,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904244,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411581,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411607,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411617,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410434,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410558,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904084,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411639,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411699,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411701,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411723,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425576,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411768,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440170,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410791,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904105,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410608,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904249,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411585,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411823,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439940,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440100,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440134,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411651,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412100,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411967,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425754,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411021,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410675,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904201,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410664,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410740,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410532,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904103,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410849,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411702,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410646,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411905,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411007,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412152,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411600,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411614,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425379,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412019,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904162,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411765,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440073,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440059,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904158,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410768,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411580,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411609,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440293,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904223,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904371,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412101,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
