alignment	id_run	irods_path	is_paired_read	lane	library_id	library_type	manual_qc	name	npg_run_id	reference	run_uuid	sample_uuid	tag_index	target	total_reads	type
1	36983	/seq/illumina/runs/36/36983/lane1/plex50/36983_1#50.cram	1	1	25808625	pWGS-384	1	36983_1#50	36983_1#50		e8962b63-ea1e-515c-a44f-06c9baaaf5cf	6607d93f-baff-58fb-902e-ca9efd02a06c	50	1	2442270	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex108/36774_1#108.cram	1	1	25731011	pWGS-384	1	36774_1#108	36774_1#108		b51b60f5-3683-54e7-b73d-6e10fcdb1985	9119806c-3da3-54fa-a6b4-ee22e112bfc3	108	1	2032406	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex42/36774_1#42.cram	1	1	25730959	pWGS-384	1	36774_1#42	36774_1#42		895cb171-db32-5c2c-9e7d-0d31279e1f6c	6e139120-4b4c-5c6f-9e6f-81121bfb1add	42	1	2494630	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex286/36774_1#286.cram	1	1	25731070	pWGS-384	1	36774_1#286	36774_1#286		3a7bdea7-d478-5b1e-86bf-473abc82e7f5	d57e9c91-7d99-5f6d-81db-aa82339f056e	286	1	3199060	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex195/36773_2#195.cram	1	2	25857879	pWGS-384	1	36773_2#195	36773_2#195		37e14f9f-e456-596c-ad88-fea8c1c27586	da85ea2c-52b2-5bc5-a6cf-5993bb3f914a	195	1	2345044	cram
1	36985	/seq/illumina/runs/36/36985/lane1/plex73/36985_1#73.cram	1	1	26753747	pWGS-384	1	36985_1#73	36985_1#73		0b09eed6-5097-559f-8e12-ce80794813ff	cda6b0dc-50a9-57c8-a1b5-304fc9e4c863	73	1	2420126	cram
1	36983	/seq/illumina/runs/36/36983/lane1/plex333/36983_1#333.cram	1	1	25808906	pWGS-384	1	36983_1#333	36983_1#333		2ba53bd4-795b-5de5-b915-a6c3b5c211c8	7665be2a-2a0f-530d-8a3d-8c8afe3076f1	333	1	3714202	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex10/36773_2#10.cram	1	2	25858101	pWGS-384	1	36773_2#10	36773_2#10		f2f33984-e63d-5cd7-add2-bdce2fe2da15	ddbac71d-1590-57aa-84a1-535686d5741f	10	1	2634508	cram
1	36985	/seq/illumina/runs/36/36985/lane1/plex267/36985_1#267.cram	1	1	26753807	pWGS-384	1	36985_1#267	36985_1#267		ccf54fc5-057f-5c1b-a322-b82e9314a000	1f34f32a-3f52-56f2-b811-d42cb3203e15	267	1	3436562	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex9/37017_2#9.cram	1	2	25838825	pWGS-384	1	37017_2#9	37017_2#9		ca904124-acff-5607-9933-4530bb3a10a7	5f179b93-a53e-5b7f-8280-c28b2950b72e	9	1	2368246	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex36/36985_2#36.cram	1	2	25813292	pWGS-384	1	36985_2#36	36985_2#36		65484fe7-e6b1-5d52-ae2a-dd450dfcd66a	85baf5e0-4d78-53af-88ce-59e41e6db652	36	1	2410868	cram
1	36812	/seq/illumina/runs/36/36812/lane2/plex378/36812_2#378.cram	1	2	25777652	pWGS-384	1	36812_2#378	36812_2#378		d81e0591-a623-5e80-8c08-e135dd170ce1	75ef3afc-7a79-5fd5-9a71-e308301cace4	378	1	5208664	cram
1	36774	/seq/illumina/runs/36/36774/lane2/plex348/36774_2#348.cram	1	2	25851290	pWGS-384	1	36774_2#348	36774_2#348		047a9076-e207-568a-826b-4f22a6adccc9	227c1e1d-c0b3-545a-929e-7cd3da06b6c2	348	1	2508398	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex80/36812_1#80.cram	1	1	25941117	pWGS-384	1	36812_1#80	36812_1#80		d115e964-ae90-5563-add5-85fb3b4355cd	c5088931-ec80-5afb-9872-ab82141e590c	80	1	3723320	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex233/37017_2#233.cram	1	2	25838839	pWGS-384	1	37017_2#233	37017_2#233		bfb1b48e-fd07-50c6-877f-b541241e3ac7	17d3e5e0-41b7-5ad6-9ce4-0f9e7786e874	233	1	2515376	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex301/36812_1#301.cram	1	1	25941000	pWGS-384	1	36812_1#301	36812_1#301		d0872a2b-4505-58bc-a524-a5ac9c77bb15	f0203f80-240f-58f6-a5b0-4000ff766040	301	1	5119516	cram
1	36774	/seq/illumina/runs/36/36774/lane2/plex251/36774_2#251.cram	1	2	25851234	pWGS-384	1	36774_2#251	36774_2#251		6cdb3cf5-6eda-5ab5-9b82-28b782b2ab6f	1ede1602-fea5-5d77-99c3-678a01b5d928	251	1	1739788	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex282/37017_2#282.cram	1	2	25838866	pWGS-384	1	37017_2#282	37017_2#282		8b2acfef-fbef-5195-ae0d-06655a68746a	40940665-cef0-587e-9e0c-b9c0acd7ed6b	282	1	2453948	cram
1	36985	/seq/illumina/runs/36/36985/lane1/plex31/36985_1#31.cram	1	1	26753888	pWGS-384	1	36985_1#31	36985_1#31		ab22dafc-0126-5d45-aaf7-49742b2756e4	24889334-b8a5-5e43-a55c-8cdcb42c5a65	31	1	1801232	cram
