import_uuid	name	sample_accession_number	sample_common_name	sample_donor_id	sample_id	sample_supplier_name	sample_uuid	sequencescape_sample_id
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416820	ERS5381538	Haemophilus influenzae	HINTVAC9416820	5036148	11_47_D11_08B07877	5be86580-ac68-5139-8e7c-55424e5536c2	HINTVAC9416820
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414616	ERS5378763	Haemophilus influenzae	HINTVAC9414616	5033944	34_31_C7_09B10062	32b0d186-594c-5fb8-aefb-6a96f66782df	HINTVAC9414616
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417231	ERS5382130	Haemophilus influenzae	HINTVAC9417231	5036559	7_22_B10_08B05626	ab16e039-603e-5b27-9ed0-8e7854afe74a	HINTVAC9417231
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413797	ERS5377782	Haemophilus influenzae	HINTVAC9413797	5033125	43_96_H12_10B03272	eb80d5e6-86a6-5b59-9e70-e5a8f86565b4	HINTVAC9413797
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416710	ERS5381380	Haemophilus influenzae	HINTVAC9416710	5036038	12_5_A5_08B08174	1dfb0cad-1794-56f7-9fc2-4d5f015a88f7	HINTVAC9416710
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414724	ERS5378900	Haemophilus influenzae	HINTVAC9414724	5034052	33_80_G8_09B09746	ab40a7e7-e2e5-53ec-936b-adca1bba612f	HINTVAC9414724
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413343	ERS5377290	Haemophilus influenzae	HINTVAC9413343	5032671	47_16_B4_10B06931	10b5e452-be19-5b27-abce-2bbd320f6782	HINTVAC9413343
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417006	ERS5381813	Haemophilus influenzae	HINTVAC9417006	5036334	9_6_A6_08B06604	248e9b62-e22e-5bd7-8d00-d3dc74e7e200	HINTVAC9417006
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415752	ERS5380187	Haemophilus influenzae	HINTVAC9415752	5035080	22_29_C5_09B02793	88ce1835-c0b8-5bf4-bdff-ba31552e6100	HINTVAC9415752
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414069	ERS5378116	Haemophilus influenzae	HINTVAC9414069	5033397	40_94_H10_10B00860	b8411d38-6f15-5566-864d-376496e39568	HINTVAC9414069
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414831	ERS5379029	Haemophilus influenzae	HINTVAC9414831	5034159	32_22_B10_09B08912	070e40c1-c22c-54c8-931c-f120787e1a85	HINTVAC9414831
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415570	ERS5379960	Haemophilus influenzae	HINTVAC9415570	5034898	24_54_E6_09B03908	cd78360e-ac45-5101-b7f5-c47f0ac0f88e	HINTVAC9415570
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417394	ERS5382375	Haemophilus influenzae	HINTVAC9417394	5036722	5_54_E6_08B04395	0ca8372b-f7a9-5751-ba04-548ed96d463f	HINTVAC9417394
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417655	ERS5382774	Haemophilus influenzae	HINTVAC9417655	5036983	1A_15_B3_08B00218	d3c20330-da98-58cf-892b-44d0e9d9ba20	HINTVAC9417655
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414983	ERS5379231	Haemophilus influenzae	HINTVAC9414983	5034311	30_17_B5_09B07598	771ac856-f7f5-5f73-b3d1-e9f883fa051e	HINTVAC9414983
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413677	ERS5377665	Haemophilus influenzae	HINTVAC9413677	5033005	44_93_H9_10B04379	13060145-dc0f-5b27-8d14-d2708588a79d	HINTVAC9413677
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416369	ERS5380884	Haemophilus influenzae	HINTVAC9416369	5035697	16_46_D10_08B10751	dc8500dc-c90a-588e-b09b-22b122b43c35	HINTVAC9416369
