48373_1#198	United Kingdom	2011	Haemophilus influenzae
46321_2#204	Cambodia	2019	Haemophilus influenzae
46358_2#203	Cambodia	2019	Haemophilus influenzae
48373_1#64	United Kingdom	2020	Haemophilus influenzae
48373_1#252	United Kingdom	2020	Haemophilus influenzae
48373_1#272	United Kingdom	2011	Haemophilus influenzae
46472_2#244	Cambodia	2019	Haemophilus influenzae
48373_1#54	United Kingdom	2020	Haemophilus influenzae
46321_1#49	Thailand	2008	Haemophilus influenzae
48373_1#17	United Kingdom	2019	Haemophilus influenzae
46358_2#247	Cambodia	2019	Haemophilus influenzae
48373_1#208	United Kingdom	2011	Haemophilus influenzae
48373_1#38	United Kingdom	2010	Haemophilus influenzae
46321_2#157	Cambodia	2019	Haemophilus influenzae
46358_2#149	Cambodia	2019	Haemophilus influenzae
46472_2#319	Cambodia	2019	Haemophilus influenzae
48373_1#297	United Kingdom	2010	Haemophilus influenzae
48373_1#109	United Kingdom	2009	Haemophilus influenzae
46321_1#318	Cambodia	2019	Haemophilus influenzae
48373_1#104	United Kingdom	2011	Haemophilus influenzae
48373_1#360	United Kingdom	2019	Haemophilus influenzae
46321_2#323	Cambodia	2019	Haemophilus influenzae
46321_2#363	Cambodia	2019	Haemophilus influenzae
48373_1#185	United Kingdom	2019	Haemophilus influenzae
48373_1#295	United Kingdom	2010	Haemophilus influenzae
48373_1#15	United Kingdom	2009	Haemophilus influenzae
46472_2#82	Cambodia	2019	Haemophilus influenzae
46321_1#182	Cambodia	2019	Haemophilus influenzae
46358_2#76	Cambodia	2019	Haemophilus influenzae
46321_2#232	Cambodia	2019	Haemophilus influenzae
46472_2#96	Cambodia	2019	Haemophilus influenzae
48373_1#22	United Kingdom	2020	Haemophilus influenzae
48373_1#195	United Kingdom	2009	Haemophilus influenzae
46358_2#89	Cambodia	2019	Haemophilus influenzae
48373_1#127	United Kingdom	2019	Haemophilus influenzae
48373_1#227	United Kingdom	2009	Haemophilus influenzae
46358_2#228	Cambodia	2019	Haemophilus influenzae
48373_1#16	United Kingdom	2010	Haemophilus influenzae
46358_2#199	Cambodia	2019	Haemophilus influenzae
46472_2#242	Cambodia	2019	Haemophilus influenzae
46358_2#307	Cambodia	2019	Haemophilus influenzae
46321_2#142	Cambodia	2019	Haemophilus influenzae
46472_2#184	Cambodia	2019	Haemophilus influenzae
46321_1#316	Cambodia	2019	Haemophilus influenzae
46321_1#86	Cambodia	2019	Haemophilus influenzae
46321_2#194	Cambodia	2019	Haemophilus influenzae
48373_1#239	United Kingdom	2010	Haemophilus influenzae
48373_1#274	United Kingdom	2020	Haemophilus influenzae
46472_2#126	Cambodia	2019	Haemophilus influenzae
46321_1#298	Thailand	2009	Haemophilus influenzae
48373_1#169	United Kingdom	2009	Haemophilus influenzae
46472_2#315	Cambodia	2019	Haemophilus influenzae
46472_2#122	Cambodia	2019	Haemophilus influenzae
46321_2#168	Cambodia	2019	Haemophilus influenzae
46358_2#111	Cambodia	2019	Haemophilus influenzae
48373_1#129	United Kingdom	2009	Haemophilus influenzae
46321_2#244	Cambodia	2019	Haemophilus influenzae
46321_2#102	Cambodia	2019	Haemophilus influenzae
46358_2#354	Cambodia	2019	Haemophilus influenzae
46321_2#155	Cambodia	2019	Haemophilus influenzae
48373_1#12	United Kingdom	2010	Haemophilus influenzae
46321_2#160	Cambodia	2019	Haemophilus influenzae
46358_2#88	Cambodia	2019	Haemophilus influenzae
48373_1#321	United Kingdom	2011	Haemophilus influenzae
48373_1#312	United Kingdom	2020	Haemophilus influenzae
48373_1#359	United Kingdom	2019	Haemophilus influenzae
46321_1#178	Cambodia	2019	Haemophilus influenzae
46321_1#279	Cambodia	2019	Haemophilus influenzae
48373_1#266	United Kingdom	2011	Haemophilus influenzae
46321_1#254	Cambodia	2019	Haemophilus influenzae
46472_2#347	Cambodia	2019	Haemophilus influenzae
46358_2#353	Cambodia	2019	Haemophilus influenzae
48373_1#265	United Kingdom	2010	Haemophilus influenzae
48373_1#141	United Kingdom	2009	Haemophilus influenzae
48373_1#146	United Kingdom	2020	Haemophilus influenzae
48373_1#318	United Kingdom	2020	Haemophilus influenzae
48373_1#2	United Kingdom	2010	Haemophilus influenzae
46321_2#274	Cambodia	2019	Haemophilus influenzae
46358_2#245	Cambodia	2019	Haemophilus influenzae
46358_2#24	Cambodia	2019	Haemophilus influenzae
48373_1#106	United Kingdom	2011	Haemophilus influenzae
48373_1#126	United Kingdom	2020	Haemophilus influenzae
46321_1#222	Cambodia	2019	Haemophilus influenzae
46321_1#311	Cambodia	2019	Haemophilus influenzae
46358_2#285	Cambodia	2019	Haemophilus influenzae
48373_1#319	United Kingdom	2019	Haemophilus influenzae
46358_2#27	Cambodia	2019	Haemophilus influenzae
48373_1#326	United Kingdom	2010	Haemophilus influenzae
46321_1#26	Cambodia	2019	Haemophilus influenzae
